iter	Logloss
0	0.689387909
1	0.6870117032
2	0.683300394
3	0.6796187801
4	0.6759665945
5	0.6736545921
6	0.6700488673
7	0.6664718934
8	0.6642052522
9	0.6619494333
10	0.658434686
11	0.6549478793
12	0.6514887593
13	0.6480570743
14	0.6446525745
15	0.6412750121
16	0.6379241412
17	0.6345997183
18	0.6313015014
19	0.6280292508
