iter	Passed	Remaining
0	2	38
1	7	68
2	11	66
3	14	58
4	17	52
5	24	58
6	27	51
7	29	44
8	33	41
9	40	40
10	43	35
11	46	30
12	49	26
13	52	22
14	55	18
15	57	14
16	61	10
17	64	7
18	67	3
19	71	0
