iter	Passed	Remaining
0	147	2807
1	152	1369
2	155	882
3	161	647
4	165	496
5	170	398
6	174	323
7	178	267
8	183	224
9	188	188
10	193	158
11	197	131
12	201	108
13	205	88
14	209	69
15	213	53
16	218	38
17	221	24
18	226	11
19	229	0
