iter	CrossEntropy
0	0.689527817
1	0.6872394704
2	0.683664571
3	0.6801172129
4	0.6765971576
5	0.6743683659
6	0.6708914343
7	0.6674412003
8	0.6652545265
9	0.6630779055
10	0.6596854841
11	0.656319036
12	0.6529783341
13	0.6496631533
14	0.6463732697
15	0.6431084617
16	0.6398685091
17	0.6366531933
18	0.6334622977
19	0.6302956074
